id,church_id,name,group_name,total_cells,total_members
a62f461e-e574-4052-8ef3-a4d0ee0c77c4,a1111111-1111-4111-8111-111111111101,"Diplomatas","Diplomatas",7,67
217d9a73-3d57-4979-854d-dc97662a55e5,a1111111-1111-4111-8111-111111111101,"Estrelas de Siao","Estrelas de Siao",9,66
bee8d416-64f2-475a-871e-7cc07007c3a6,a1111111-1111-4111-8111-111111111101,"QOG","QOG",25,149
121ae827-dc37-480c-8737-4733de33b7b9,a1111111-1111-4111-8111-111111111101,"Royal Sister","Royal Sister",27,411
f9f013c8-346f-4567-8911-762379b97d40,a1111111-1111-4111-8111-111111111101,"Visionarios","Visionarios",1,14
0689db79-05e3-439d-8664-666387c591dd,a1111111-1111-4111-8111-111111111101,"Wealth Nation","Wealth Nation",10,86
0d7246a1-0afe-45a6-8489-e564668d0cd6,a1111111-1111-4111-8111-111111111101,"Pais da Fé","Pais da Fé",8,68
893e2625-2736-41be-802f-87ae6594cb68,a1111111-1111-4111-8111-111111111101,"Perolas do Reino","Perolas do Reino",7,66
24157e6a-959c-4e2f-8bca-d7b0bfe656c6,a1111111-1111-4111-8111-111111111101,"Vanguard","Vanguard",28,172
feaf54e9-043b-414a-80bf-b1e8fcf704de,a1111111-1111-4111-8111-111111111101,"MWV","MWV",10,154
875df2c2-ad72-45cb-823d-c196aa54c4fb,a1111111-1111-4111-8111-111111111101,"Zion Nation","Zion Nation",12,103
9b9f457d-d5da-4ff7-8862-381b41d51396,a1111111-1111-4111-8111-111111111101,"Dominio","Dominio",1,18
f903cb5f-60b2-4fb4-86ac-5712b6578205,a1111111-1111-4111-8111-111111111101,"Transformada","Transformada",1,50
b739d946-c9ed-4a1a-89ea-56157a7b1176,a1111111-1111-4111-8111-111111111101,"Agathos","Agathos",10,58
ef444bdd-cac5-4f0e-89f8-08d37e97a947,a1111111-1111-4111-8111-111111111101,"Pioneiro","Pioneiro",17,172
334021eb-7658-4e26-8239-1a4f5c80409d,a1111111-1111-4111-8111-111111111101,"Blossom","Blossom",14,94
a5c43304-7278-4dcd-8081-87bb2c11fbfd,a1111111-1111-4111-8111-111111111101,"Phronesis","Phronesis",22,143
